"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Production de vin (de raisin) (NAF rév. 2, niveau classe, poste 11.02)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Production de vin (de raisin) (NAF rév. 2, niveau classe, poste 11.02)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Production de vin (de raisin) (NAF rév. 2, niveau classe, poste 11.02)";"Codes"
"idBank";"010767676";"";"010767676";"";"010767676";""
"Mises à jour";"03/05/2024 08:45";"";"05/04/2024 08:45";"";"05/03/2024 08:45";""
"Période";"";"";"";"";"";""
"2024-03";"88.17";"A";"";"";"";""
"2024-02";"92.44";"A";"93.76";"A";"";""
"2024-01";"90.41";"A";"91.36";"A";"90.65";"A"
"2023-12";"91.67";"A";"92.05";"A";"91.68";"A"
"2023-11";"91.53";"A";"91.8";"A";"91.57";"A"
"2023-10";"91.53";"A";"91.56";"A";"91.39";"A"
"2023-09";"85.71";"A";"85.53";"A";"85.36";"A"
"2023-08";"94.55";"A";"94.41";"A";"94.35";"A"
"2023-07";"98.22";"A";"98.02";"A";"98.02";"A"
"2023-06";"97.49";"A";"97.38";"A";"97.41";"A"
"2023-05";"113.57";"A";"113.42";"A";"113.47";"A"
"2023-04";"109.03";"A";"108.85";"A";"108.97";"A"
"2023-03";"105.86";"A";"103.55";"A";"103.44";"A"
"2023-02";"110.89";"A";"112.23";"A";"114.64";"A"
"2023-01";"111.52";"A";"112.58";"A";"111.9";"A"
"2022-12";"91.35";"A";"91.87";"A";"91.59";"A"
"2022-11";"100.65";"A";"100.84";"A";"100.68";"A"
"2022-10";"104.26";"A";"104.22";"A";"104.09";"A"
"2022-09";"106.26";"A";"106.12";"A";"105.97";"A"
"2022-08";"106.13";"A";"105.98";"A";"105.95";"A"
"2022-07";"104.67";"A";"104.47";"A";"104.5";"A"
"2022-06";"109.26";"A";"109.07";"A";"109.1";"A"
"2022-05";"104.72";"A";"104.75";"A";"104.79";"A"
"2022-04";"104.15";"A";"104.06";"A";"104.15";"A"
"2022-03";"112.6";"A";"110.76";"A";"110.63";"A"
"2022-02";"101.58";"A";"102.53";"A";"104.06";"A"
"2022-01";"101.7";"A";"102.4";"A";"101.93";"A"
"2021-12";"99.3";"A";"99.86";"A";"99.62";"A"
"2021-11";"107.64";"A";"107.75";"A";"107.65";"A"
"2021-10";"108.19";"A";"108.09";"A";"108.01";"A"
"2021-09";"109.66";"A";"109.53";"A";"109.43";"A"
"2021-08";"103.44";"A";"103.35";"A";"103.34";"A"
"2021-07";"102.26";"A";"102.2";"A";"102.27";"A"
"2021-06";"111.65";"A";"111.65";"A";"111.7";"A"
"2021-05";"96.65";"A";"96.56";"A";"96.58";"A"
"2021-04";"90.93";"A";"90.96";"A";"91.01";"A"
"2021-03";"93.82";"A";"92.73";"A";"92.61";"A"
"2021-02";"89.76";"A";"90.28";"A";"90.96";"A"
"2021-01";"86.7";"A";"87.04";"A";"86.81";"A"
"2020-12";"91.39";"A";"91.76";"A";"91.62";"A"
"2020-11";"83.19";"A";"83.23";"A";"83.21";"A"
"2020-10";"88.05";"A";"88.04";"A";"88.02";"A"
"2020-09";"82.39";"A";"82.33";"A";"82.28";"A"
"2020-08";"84.79";"A";"84.68";"A";"84.67";"A"
"2020-07";"76.97";"A";"77.02";"A";"77.08";"A"
"2020-06";"70.26";"A";"70.24";"A";"70.26";"A"
"2020-05";"41.71";"A";"41.65";"A";"41.65";"A"
"2020-04";"30.61";"A";"30.62";"A";"30.63";"A"
"2020-03";"70.66";"A";"70.21";"A";"70.14";"A"
"2020-02";"92.56";"A";"92.71";"A";"93.02";"A"
"2020-01";"100.17";"A";"100.46";"A";"100.34";"A"
"2019-12";"96.94";"A";"97.17";"A";"97.06";"A"
"2019-11";"100.63";"A";"100.54";"A";"100.52";"A"
"2019-10";"91.88";"A";"91.93";"A";"91.93";"A"
"2019-09";"95.65";"A";"95.57";"A";"95.54";"A"
"2019-08";"84.67";"A";"84.6";"A";"84.6";"A"
"2019-07";"100.36";"A";"100.55";"A";"100.64";"A"
"2019-06";"92.35";"A";"92.24";"A";"92.24";"A"
"2019-05";"88.23";"A";"88.24";"A";"88.25";"A"
"2019-04";"95.78";"A";"95.83";"A";"95.84";"A"
"2019-03";"93.75";"A";"93.38";"A";"93.33";"A"
"2019-02";"101.64";"A";"101.64";"A";"101.67";"A"
"2019-01";"99.42";"A";"99.57";"A";"99.56";"A"
"2018-12";"96.76";"A";"96.84";"A";"96.77";"A"
"2018-11";"94.85";"A";"94.9";"A";"94.9";"A"
"2018-10";"96.74";"A";"96.81";"A";"96.82";"A"
"2018-09";"94.98";"A";"94.86";"A";"94.84";"A"
"2018-08";"96.87";"A";"96.87";"A";"96.88";"A"
"2018-07";"90.99";"A";"91.09";"A";"91.16";"A"
"2018-06";"100.57";"A";"100.58";"A";"100.58";"A"
"2018-05";"97.96";"A";"97.89";"A";"97.88";"A"
"2018-04";"99.03";"A";"98.98";"A";"98.97";"A"
"2018-03";"97.07";"A";"97.02";"A";"97.01";"A"
"2018-02";"97.3";"A";"97.27";"A";"97.28";"A"
"2018-01";"94.54";"A";"94.62";"A";"94.6";"A"
"2017-12";"96.43";"A";"96.42";"A";"96.38";"A"
"2017-11";"97.12";"A";"97.16";"A";"97.15";"A"
"2017-10";"99.5";"A";"99.48";"A";"99.48";"A"
"2017-09";"96.62";"A";"96.6";"A";"96.59";"A"
"2017-08";"108.33";"A";"108.35";"A";"108.36";"A"
"2017-07";"98.86";"A";"98.82";"A";"98.86";"A"
"2017-06";"99.62";"A";"99.65";"A";"99.65";"A"
